"Geneid","SVG09","SVG10","SVG11","SVG12","SVG13","SVG14"
"Mb3871",49920,41644,45477,19239,28058,13975
"Mb1812",12848,12423,13365,24965,23819,18704
"Mb2898",7918,3758,5632,21454,21699,17267
"Mb3010C",24292,18435,21657,19280,16734,15896
"Mb0254C",17198,16570,17753,21279,16020,16793
"Mb0433C",18742,24950,19343,22960,22056,15029
"Mb3245",17342,16671,18651,17564,14215,20056
"Mb3175",20377,24615,22114,22805,17664,14523
"Mb2974C",44457,37156,42983,22778,18613,21582
"Mb0891C",4235,7925,5428,21973,14518,15653
"Mb2271",14218,13630,14033,16921,17493,11399
"Mb1342",11787,10684,12899,17651,14438,14417
"Mb2213C",12514,16548,14541,27716,22678,21906
"Mb0292",22495,25645,22847,16300,11956,13292
"Mb2218",17231,18666,19108,17577,13565,13922
"Mb0559C",25160,30431,26376,22155,16883,15741
"Mb0727",13395,14402,13258,17777,12158,12463
"Mb3707",33174,32763,33477,22774,17847,17564
"Mb0495",13007,12483,12271,12706,8051,10432
"Mb3028C",9521,10876,9626,9211,6204,6125
"Mb0660",31599,34247,34253,18924,12875,15684
"Mb1484C",15485,18320,16576,16241,13317,11082
"Mb2769C",20457,22523,22070,18414,13004,13428
"Mb2729",46650,40908,44522,19865,16608,16840
"Mb3486C",10630,8602,10939,14986,10045,11757
"Mb0005",39871,35996,39555,18608,14388,16683
"Mb3451C",5202,6040,5014,19560,14017,14039
"Mb2244",8990,8156,10572,17350,12583,14564
"Mb3154C",25697,13529,22199,17078,4897,18954
"Mb3903",26401,21823,21954,22195,22610,14795
"Mb1445C",18520,20009,19742,17616,15238,13781
"Mb0222",10049,13097,12193,21635,22220,15677
"Mb2967",30707,29652,30159,18317,15169,13813
"Mb3485C",10836,9224,10982,14619,10520,11645
"Mb0111C",7725,10315,8119,16914,19053,10711
"Mb0009",9486,10322,11231,20458,15263,16741
"Mb2957",13888,11405,13274,20214,11492,16935
"Mb1124",49630,53167,52740,20094,17060,16886
"Mb0006",25782,24568,25088,16461,13215,14102
"Mb3020C",5272,8054,6079,8709,4924,5729
"Mb0524",22991,26128,20730,13571,11292,9080
"Mb2270",18143,17035,18378,12900,12947,7843
"Mb0345C",22536,23345,22757,17253,12495,12971
"Mb3030C",12130,10589,11703,9363,8905,7117
"Mb2722",20030,19344,20684,17471,13654,15552
"Mb1723",14374,15125,15890,14218,11870,11476
"Mb0956C",30377,30430,32015,14967,12300,13232
"Mb3505",5487,9330,6693,24033,26873,14388
"Mb3898",17994,12826,16119,15761,15318,12242
"Mb1852",19351,19141,19430,16522,15127,12644
"Mb3026C",5533,5018,5872,6323,4714,5263
"Mb0979",11561,13844,13123,15892,12017,11927
"Mb1125",30517,31079,29517,14833,14431,10647
"Mb3909C",13579,13835,12041,17042,15339,8826
"Mb2927C",16257,17847,17559,16467,12179,12606
"Mb3273C",13197,14629,13456,13752,11994,9923
"Mb1824",16855,17069,16824,15060,13590,11779
"Mb3071",15363,14699,16169,14090,12633,11644
"Mb1357C",16561,14235,16142,18545,17053,13605
"Mb1107",2841,3720,3650,17373,12288,13167
"Mb2265",17013,18834,17221,14051,10824,10817
"Mb3900",26171,23224,26488,16286,15245,12657
"Mb1867C",14755,16591,14847,15782,11255,12215
"Mb2412",11412,12135,12030,10031,7907,8708
"Mb3077C",18669,15760,19933,19053,16223,18071
"Mb3952C",17135,17985,18894,13276,10486,11122
"Mb0742",13211,13236,12695,13588,10106,10814
"Mb1207C",18793,17420,17963,16492,15663,15126
"Mb3706C",3965,5433,4735,24626,32322,14459
"Mb0630C",8301,12308,9958,16638,9905,9470
"Mb2966",14821,12888,14550,12499,10880,11745
"Mb0051",15809,16552,17550,15884,12083,11818
"Mb1109C",27775,23866,27214,14452,11071,12672
"Mb0837C",2504,2894,2705,10676,7504,9366
"Mb3180",19135,21237,20397,17382,14322,12734
"Mb3155",13404,5054,9706,7829,3085,7376
"Mb3276C",34763,20266,29999,12712,9074,10642
"Mb2482C",9460,9463,9802,10514,8086,9092
"Mb0838C",4758,4823,5239,9449,6087,9407
"Mb0291",13933,18092,14619,10990,8061,7924
"Mb1427",22032,21277,21356,10862,8921,8617
"Mb1233C",5749,8061,7574,11140,6789,9346
"Mb1918C",3657,4977,4759,13094,11402,10459
"Mb3831C",25870,22472,24270,12934,10403,9341
"Mb0658",18360,18946,18753,13437,10655,11067
"Mb0920",19217,19276,20794,12708,9794,9889
"Mb0471",6286,7345,7703,12047,8290,10844
"Mb3823",6851,9420,8474,16066,9362,10508
"Mb3829C",10157,9880,10504,14249,11642,10105
"Mb3473C",10085,10878,10988,11851,7502,9385
"Mb1280C",10801,11559,11498,13225,11374,9717
"Mb2174C",18174,15650,18489,12716,9862,10420
"Mb0744",14250,14680,14906,13264,8641,10445
"Mb2805C",9731,12357,10225,11247,7486,6417
"Mb3491C",6577,6623,7474,10189,7170,9021
"Mb1227",12743,13747,9783,17715,12129,18505
"Mb1515",15930,14894,16077,12792,10823,10190
"Mb0726",8873,9033,8312,11478,8557,7864
"Mb3894",17366,9817,13791,12785,12223,10386
"Mb1341",7217,6895,7951,11390,8711,9191
"Mb1574",11374,12406,12037,15832,13404,12671
"Mb1825",14462,15472,14281,11572,11137,8177
"Mb3313",19618,18287,17115,13135,9449,9458
"Mb0745",20557,21950,19937,15891,12909,11526
"Mb2814C",18390,22697,19329,9550,6867,8347
"Mb1358",16723,16355,16459,11707,10124,9767
"Mb0180",7094,8337,7398,16482,21304,10246
"Mb2003C",6678,6998,7522,11669,9815,9396
"Mb2914C",5217,5871,5928,10328,6607,8109
"Mb0847C",48268,43528,47929,17931,16737,15946
"Mb0946",14643,17522,14721,11550,9900,8041
"Mb2217",12884,12751,13420,10434,7758,8982
"Mb3268C",10580,10765,11162,14128,11642,12120
"Mb2504C",10386,11269,11633,11197,7312,9747
"Mb1230",8827,8747,7175,15317,9999,15610
"Mb1255",20481,22103,20370,13580,12454,10125
"Mb0344C",5795,6366,6233,6133,4187,4848
"Mb0474C",25005,23667,24207,15096,11860,12431
"Mb1288C",741,550,667,1142,684,741
"Mb0082",10683,5641,8427,8981,2968,9722
"Mb3644C",2683,2173,2609,12212,14602,10382
"Mb2127",9560,10645,9984,13819,10292,9822
"Mb3019C",2984,4500,3557,6732,4338,4643
"Mb0712",9769,11556,9985,13456,12058,10015
"Mb0976",8582,10302,10027,9212,5571,8561
"Mb0360",8544,10309,8160,16329,10685,11325
"Mb3054C",6722,10439,7946,15053,9405,8863
"Mb1496",16319,9973,13536,6443,8073,5495
"Mb2362",12777,14261,13352,9253,6029,7498
"Mb3055C",9981,12929,11373,14435,9734,11319
"Mb2494",5507,6632,6151,10331,7340,7919
"Mb1422",6200,9970,7874,6191,2938,5194
"Mb1224",22529,19344,22118,11014,7571,10974
"Mb3670C",10348,10018,11605,13052,8937,10800
"Mb1776",13021,13733,13706,13189,9613,10385
"Mb0740",9381,9375,9959,10240,7678,8570
"Mb0217",6172,4476,5629,8820,5193,8609
"Mb2268",11057,9960,12890,10943,9912,8374
"Mb1902C",13569,13311,13189,15903,16847,12917
"Mb3613C",25510,25544,24627,12069,12555,9077
"Mb2654C",17920,20100,18404,11127,10267,7434
"Mb2171C",8864,8671,8775,9407,8557,8126
"Mb2238",8728,9803,9134,9400,6739,6393
"Mb3824",6326,7901,7259,13834,10037,10077
"Mb0059",14705,14811,15397,12410,9445,9974
"Mb1640",9862,9657,9843,13454,10688,10651
"Mb0299",10805,14160,11136,7525,5757,4099
"Mb2993C",5806,6288,6497,7359,6082,5915
"Mb0431C",13295,14437,13416,11264,9673,9167
"Mb3288C",8384,9321,9435,11008,8986,10696
"Mb1823",11348,11600,12118,12236,9891,9506
"Mb3295",12988,14921,13090,10990,8344,7721
"Mb2972C",15354,13433,15454,10487,7698,9503
"Mb0784C",2733,3323,3272,7812,5151,6550
"Mb2871C",42568,27548,35074,12326,12063,7691
"Mb1102",11446,10109,10984,8245,7800,7114
"Mb1670",7577,6436,6737,10236,8822,7490
"Mb1657",11220,11474,11160,11694,8540,7797
"Mb1363",6098,8491,7024,9282,6087,7224
"Mb1396C",14476,13819,11421,15662,9848,15071
"Mb2899",4250,2154,3077,10084,9980,7905
"Mb1508",6065,6422,6354,5473,3887,4103
"Mb3888C",5649,6756,5985,9337,8264,7277
"Mb0297",10527,11188,10712,6555,5491,4940
"Mb0725",6038,6389,6599,9225,6522,7249
"Mb0047C",25196,23784,25120,10401,8486,8293
"Mb2227C",13351,11254,12435,8402,8475,7008
"Mb2865C",9840,9416,9694,9412,8074,7105
"Mb3181",13919,13317,14328,12070,9949,9001
"Mb1637",13745,15955,14642,13969,9993,11184
"Mb1511C",14726,12384,14995,10942,7923,8782
"Mb2178C",11221,12549,12029,10629,8713,7603
"Mb3749C",11179,12297,12076,10046,7144,8596
"Mb0134C",7770,7658,7844,9031,6938,7554
"Mb1919",13674,13523,13829,10951,9201,8645
"Mb3645C",1508,1276,1446,8939,10933,6798
"Mb0723",5815,6158,6258,8810,7424,6964
"Mb0775C",1257,3376,1553,3422,2467,2398
"Mb0130",4979,5046,5397,8017,5390,6103
"Mb1423",6745,6679,6707,10608,7169,8334
"Mb0828",7037,6466,7178,12956,9614,13015
"Mb0977",7521,9061,9511,7862,4677,6814
"Mb0298",10748,13139,11646,7047,5228,4474
"Mb2353C",16397,16466,14580,9039,7787,6146
"Mb0249",18060,27237,20371,15993,13788,11358
"Mb0713",9203,10734,9743,11456,10218,8485
"Mb2912C",5551,6629,6427,9540,6053,6553
"Mb3215C",12180,13091,13535,10607,8058,8673
"Mb2056C",26015,13088,20038,26679,4167,22614
"Mb1206",12824,15611,13089,11266,8863,8818
"Mb0739",8153,8044,8341,9425,7245,8272
"Mb1950",6705,7949,6955,7675,5729,6850
"Mb0226",21213,20307,20520,11659,10031,9987
"Mb3069C",6527,7538,7551,10389,7561,8253
"Mb0883",8093,6959,7269,13698,12377,7277
"Mb2940C",4885,6876,5791,8810,5495,6171
"Mb0674",7481,8002,7638,16681,19211,10115
"Mb2002C",10149,9222,9759,10098,9391,9705
"Mb2614C",10805,11894,11648,11783,10028,9052
"Mb3940",11951,12678,12348,11736,9467,8331
"Mb0457C",6265,4659,4600,10056,9042,6916
"Mb3472C",7299,8904,7983,9747,6375,7700
"Mb0391C",2729,3336,2904,6080,4952,4058
"Mb2893C",12981,11940,13127,9881,8225,7704
"Mb0521",12695,12981,12351,9409,8640,6692
"Mb2118C",9702,7863,9041,7658,7145,6227
"Mb0276",8315,9797,8307,11257,11780,7590
"Mb2991C",5141,6365,5390,6823,6280,4897
"Mb2139C",20898,17947,20008,12277,13237,9720
"Mb3487C",5562,4938,5992,10142,6445,7174
"Mb3258C",20711,18261,17730,1223,1648,1212
"Mb0390C",15000,15335,14228,9313,7415,6990
"Mb2740C",7748,8953,8664,15416,13944,11029
"Mb3274C",9046,8493,8572,9129,9039,7474
"Mb2169C",16512,16218,16386,11967,10369,9293
"Mb2928C",9409,8828,9609,8613,6530,7969
"Mb2756C",14887,12088,13077,6259,6174,5647
"Mb3489C",4990,4861,5621,8805,5964,7219
"Mb1643",4769,6085,5802,9294,6157,7049
"Mb1123",10815,11649,11113,9869,6874,7737
"Mb0241C",11895,15727,11988,10535,8292,6241
"Mb2618C",11673,11681,11854,9950,7822,7083
"Mb2765C",11898,12530,11452,8919,7559,6927
"Mb3031",13284,10605,12662,7618,6665,6191
"Mb2223C",14981,14078,15742,9764,8172,9115
"Mb0112C",3225,4060,3927,15951,19342,12343
"Mb1419",4142,4184,4179,9113,8012,6351
"Mb3174",7800,9738,8455,10333,8426,7775
"Mb2245C",6367,8488,6972,10126,7610,6893
"Mb1585",9998,10974,10715,9273,6738,6754
"Mb3822",3639,4437,3909,8697,6824,5724
"Mb2726",10272,8596,10052,6530,4741,6184
"Mb0659",11366,10636,11187,8024,6044,6573
"Mb1822",9809,8561,9977,8586,8477,7324
"Mb1229",6121,5933,4765,10194,6986,10548
"Mb2321C",2668,3120,3099,8858,4844,6975
"Mb0514",10544,9422,9823,10254,10368,7931
"Mb1425",10631,10004,10204,6620,4816,5207
"Mb1338",5655,6603,6757,10169,6655,7710
"Mb1359",14981,15630,15259,9517,6568,7414
"Mb1671",9090,8809,7701,8319,6871,5594
"Mb1426",14511,14708,13082,7576,6236,4867
"Mb3901",18668,18121,18810,10895,10193,8031
"Mb1664",10974,11637,11091,8995,6718,6644
"Mb0537",13052,14927,12882,8834,5269,5873
"Mb3896",11150,7093,8934,9860,9912,7314
"Mb0294",9625,11013,9241,6269,4999,4580
"Mb3951C",10122,10366,10866,8423,6606,6611
"Mb2225C",11080,9598,10771,7566,7013,5784
"Mb0496",12498,14350,11934,7335,6193,5292
"Mb1036",4187,4903,4536,11187,8463,8378
"Mb2422C",5151,5264,5683,6077,2900,5720
"Mb3833C",4294,3771,4166,9558,8479,7323
"Mb3911C",7033,6159,6366,9092,8310,6942
"Mb1516",10588,11160,10827,10044,8241,6768
"Mb0955C",12216,11771,11640,7616,5984,6398
"Mb3554",4659,6165,6090,6344,3314,6426
"Mb0455C",5720,4809,4735,9923,10843,7659
"Mb3488C",4452,4577,4942,8634,5441,6687
"Mb3150",11397,7029,10180,11319,2952,11824
"Mb1103C",6110,6168,6534,7191,5854,5660
"Mb3737",11114,10809,10039,5830,4306,4483
"Mb1009",17025,15236,16391,10475,8431,8352
"Mb0826",5084,6708,5857,7329,4791,5591
"Mb0177",2682,3150,2977,12553,14884,6755
"Mb2970C",9333,8311,9158,8578,6344,7180
"Mb1967",3435,4823,3856,6844,4349,5637
"Mb1211",28620,33084,28755,9057,6863,6683
"Mb2481C",3652,3649,3619,6772,5490,5392
"Mb1625",5180,5225,4870,4233,2828,2731
"Mb1563",15971,15053,15509,6064,5288,5094
"Mb1520",8351,9044,9561,7229,4602,6717
"Mb1875C",10370,10880,9800,8019,7765,6066
"Mb1808C",15217,16186,14252,5435,3047,4931
"Mb0192",10529,13164,11367,7509,5752,5560
"Mb2926C",9428,10243,9632,8025,6409,6147
"Mb2523C",9878,13278,10664,7209,6019,6659
"Mb2057C",12083,6085,10317,19778,3478,18056
"Mb3238",12017,14421,11896,7842,6677,4949
"Mb1677",3938,4084,3697,8106,5705,5296
"Mb3640C",15639,15586,15174,8512,7003,6482
"Mb3446",12877,12186,12160,9946,8888,7800
"Mb1471",11648,12260,11930,7723,5887,6036
"Mb1554C",7012,8933,7882,8199,8131,5404
"Mb2701C",13008,14311,12544,9062,8707,6341
"Mb0737",7324,7636,7888,9070,6428,7116
"Mb1327",9718,10906,10598,5971,3978,5305
"Mb2077C",10329,12278,10380,10634,8120,7321
"Mb3016C",4108,5146,4859,6067,3757,4818
"Mb3471C",10618,12816,10810,8691,6357,5607
"Mb2246C",11832,10754,11120,8141,6641,6905
"Mb1900C",17017,18223,16281,8068,8515,5980
"Mb1513",10903,12260,12060,14000,11100,9894
"Mb3311",11175,10697,11214,8398,7440,6779
"Mb3176",8433,7946,9743,8578,7430,7086
"Mb1472",10080,11467,10453,7150,5465,5551
"Mb3840",6379,6471,6439,12326,9816,8358
"Mb2913C",4133,4856,4477,7958,4897,5331
"Mb3434",9775,14084,10064,7090,4753,5246
"Mb2739",13379,11357,12271,7800,8178,5394
"Mb1908",12108,11791,11675,7491,7156,5859
"Mb3618C",4274,4264,4357,9058,9774,6474
"Mb3172",9673,11610,10685,9011,6844,6890
"Mb0232C",4890,5676,5997,9668,7335,6826
"Mb3520",12953,13078,12767,8438,7086,6834
"Mb0359",3983,4839,3734,9426,6187,6928
"Mb1187",7646,7396,7434,6225,5028,5076
"Mb0162",7034,7859,7820,9335,5552,7626
"Mb3034C",5197,5093,5285,5101,3627,4161
"Mb0208C",12234,12884,12493,11523,10792,8326
"Mb1272",6597,7638,7837,10065,5524,7997
"Mb0854C",9201,9104,9687,9463,7454,8176
"Mb3182",8937,9292,9462,10027,8539,7885
"Mb3899",11845,9916,11997,8776,7690,6434
"Mb0323",7163,7656,7859,12669,7857,10144
"Mb2187C",4400,4460,4261,6476,6173,5224
"Mb1424",5934,5487,5980,10396,6574,7916
"Mb2456C",11017,12860,12058,8485,6796,7816
"Mb2475C",5618,6988,6110,6964,3760,5251
"Mb2583C",9915,12374,10584,7043,5607,5137
"Mb0657",11147,10796,10935,6851,5375,5858
"Mb0948C",3573,4447,4056,5912,4023,5197
"Mb2216",9754,9395,10377,7909,6101,6447
"Mb1243",7470,8294,8186,8816,6663,7675
"Mb1943C",3707,3251,3533,5972,6190,4096
"Mb1863",14646,11016,14190,8395,4602,4947
"Mb0897",7437,7651,7290,6280,5726,5141
"Mb3301",5370,5836,5704,7756,6441,6064
"Mb0204C",6774,7161,7701,7306,4916,6204
"Mb2946C",4063,4950,4092,7553,5581,5140
"Mb0181",7249,8191,7910,9200,7870,6304
"Mb3302C",3797,4701,4515,6771,4900,5575
"Mb2569C",8590,10792,7931,5958,4357,3120
"Mb2487C",6117,6142,6288,7623,6047,6391
"Mb3669",29773,22297,25273,6845,4197,7003
"Mb2088C",5258,7060,6062,9170,6857,6119
"Mb0836C",3874,4024,4082,5434,3666,4654
"Mb1960",6149,6543,6162,6064,4820,5165
"Mb0253C",4330,4042,4727,7170,5912,5921
"Mb3838C",5374,6227,6002,7259,5480,5592
"Mb1725",10922,10456,11001,5799,4712,4873
"Mb2248C",8920,8675,8869,7007,5817,5423
"Mb0178",2351,2803,2585,9315,12885,5683
"Mb0954C",11062,11406,11104,7528,5899,5380
"Mb1226C",6078,6158,6661,7439,4474,7220
"Mb2200C",11577,11536,12291,8609,5637,7635
"Mb0730",9191,8557,9174,6258,4333,5333
"Mb2124C",9222,9234,9887,7329,5477,5916
"Mb3308",6843,6070,7093,7800,5069,6663
"Mb3251",9710,9821,9953,8432,6449,7105
"Mb2467C",5120,5136,5231,3808,2861,2951
"Mb0523",10416,11560,9849,6024,4473,3871
"Mb1858",7619,7568,7944,7668,6672,6260
"Mb1128C",4316,5210,5034,6694,4187,5038
"Mb0001",11365,10837,12767,12268,12881,10650
"Mb0975C",1688,2508,2305,7908,5796,6767
"Mb3736C",11202,13718,11882,6166,4227,5096
"Mb2907C",6736,6426,7247,6941,5031,5689
"Mb1482C",5489,6787,6107,7322,6097,5305
"Mb1326",9278,9738,9815,5126,3414,4592
"Mb1548",8648,8701,9047,7020,6357,6149
"Mb0649C",4702,5100,5180,6749,4310,5620
"Mb1337",3503,3821,3908,7518,5050,6065
"Mb3429C",5741,8241,6811,6510,3461,5690
"Mb1826",10485,10155,10074,7630,6859,6039
"Mb3144",3039,3084,3293,5095,3552,4651
"Mb1519",8010,8293,9012,5508,3118,5221
"Mb2730",9099,7280,8037,8350,6517,6179
"Mb0441",7912,8401,8403,7478,6304,6052
"Mb2973C",10570,9082,10258,6292,5146,5870
"Mb2924C",10714,11488,10796,6880,5850,4887
"Mb0543",5926,7616,6176,6989,5788,4691
"Mb1446C",7070,6715,6983,5546,4727,4632
"Mb2179C",5319,6384,5942,8290,5810,5354
"Mb3789",1692,2234,2082,5322,6711,4216
"Mb0735",8182,8032,8950,7004,5021,6673
"Mb1894C",6262,6486,7059,6769,5294,5533
"Mb1621",10769,11282,9788,6923,4528,4697
"Mb0269C",825,1449,852,4150,4352,2514
"Mb2280C",7943,7943,7731,5527,5278,4480
"Mb1253",5900,4422,5476,6266,4660,5728
"Mb1885C",9475,7421,8132,3933,2398,4099
"Mb1638",11132,11169,11011,8760,6589,7407
"Mb3841",7985,8546,8209,8185,6768,6110
"Mb0670",5541,6003,6250,6104,3293,5131
"Mb0831",11582,10499,10512,6186,5686,4371
"Mb0440",6594,6862,6628,7059,5417,5443
"Mb0792",7708,8610,8107,5502,4952,4820
"Mb1811",6560,6042,6679,6320,5682,5107
"Mb0570",8831,9652,9096,7460,5284,4931
"Mb1729C",4086,5437,5116,8231,5579,6841
"Mb0671",3262,3635,3751,6975,3609,4900
"Mb1859",7509,7276,7521,7069,6435,5692
"Mb3835C",6816,6926,7130,6808,5398,5254
"Mb1620",10561,10093,10159,5572,3956,4122
"Mb2148C",10873,8727,10420,8395,7030,6070
"Mb0661C",6142,5961,6424,7944,6753,6622
"Mb1332",10832,10362,11399,6421,4922,4969
"Mb1470C",8783,9362,8708,7126,5699,4336
"Mb2419C",3217,3168,3154,4818,2967,3781
"Mb3445C",8299,8597,8068,5814,5089,4460
"Mb1023",4468,5001,4984,5822,5235,4056
"Mb2454",912,794,934,3339,1411,5130
"Mb2236",1861,2232,2093,6950,3972,5147
"Mb2468C",3036,2702,3082,3571,2928,3198
"Mb3421C",7059,8516,7710,5990,4867,4382
"Mb0728",4985,5115,4977,4836,3723,3645
"Mb2952C",7353,6777,7189,6530,5629,5065
"Mb0551C",6100,7613,6929,7275,5573,5112
"Mb1659",11887,11765,11578,6519,5192,4818
"Mb0018C",9054,9033,9612,7371,5679,5465
"Mb0541",8747,11177,8497,5421,3519,3597
"Mb2188C",4076,4616,4108,5326,4132,3275
"Mb1331",10263,9700,10603,6163,5186,4532
"Mb1517",7907,7402,7828,8596,7013,6330
"Mb3036C",1560,2418,1906,4354,2330,2600
"Mb3298",13670,12081,12620,7477,5563,5404
"Mb2646C",3113,4387,3800,5789,3452,4395
"Mb3897",7816,6099,7474,6341,5884,4792
"Mb2394C",10334,8661,9478,6086,4223,4884
"Mb2752C",5751,6861,6266,6321,3745,4727
"Mb2994C",5847,5105,5852,4068,3449,3436
"Mb3035C",3701,3571,3685,3330,2678,2555
"Mb2474C",3644,4481,3942,5453,3156,3906
"Mb0296",5425,5072,4984,3883,3234,3580
"Mb3008",2825,3052,3140,4090,3442,3247
"Mb1483C",4048,4412,4387,5913,5135,4244
"Mb0753",4206,4533,4981,7753,5423,7030
"Mb2933C",3729,3721,3736,4834,3363,4391
"Mb0691",3690,5053,3843,6840,5237,5174
"Mb0477",9148,6842,8029,5995,4524,5512
"Mb1615",3570,4182,3787,5109,3236,4049
"Mb2267",12627,10561,13617,5498,4171,3484
"Mb3400C",7539,7518,6825,6603,5512,3877
"Mb0525",10661,12505,10062,5427,4605,3822
"Mb2998C",3654,4748,4193,4454,3486,3356
"Mb0804",6877,7774,7125,5491,3640,4905
"Mb3285C",6858,7873,6879,6306,5110,4473
"Mb0741",5245,5214,4948,5334,3824,4245
"Mb0577",10642,11541,11341,7209,5041,6172
"Mb0695C",7968,5712,7393,6812,4847,4287
"Mb3946",5163,5837,5957,6393,5164,5638
"Mb3272C",8088,8755,8265,7353,5939,5103
"Mb2237C",8284,9364,8552,6064,5120,4649
"Mb0666C",12190,11378,11736,6050,3838,5616
"Mb0583",7650,8628,7772,6361,4162,4607
"Mb2119C",10834,10644,10259,6094,6942,4128
"Mb3484C",6236,5023,5725,5499,3570,3903
"Mb3906",7233,5286,6671,7856,6948,5820
"Mb1861",7243,6764,7563,6452,5569,5487
"Mb1330",9180,8255,9512,5261,4872,4519
"Mb0656",3380,3484,3980,6664,4480,5535
"Mb2804C",4443,5184,4666,5344,3512,3384
"Mb0150",12294,10673,11917,6825,5727,6043
"Mb1780",4363,5448,4835,5778,3173,4952
"Mb3005C",3764,5240,4248,3735,2629,2550
"Mb0513",6919,6076,6770,6894,5570,6106
"Mb0195C",7366,7863,7497,6324,4334,4782
"Mb1560",13005,12357,11238,5486,4891,3402
"Mb1108",1366,1888,1695,7825,6311,6205
"Mb0175",2628,2576,2604,9869,11071,5624
"Mb3893",8924,4892,6563,5735,3918,5068
"Mb2892C",10885,9367,10723,6226,6266,4630
"Mb0454C",3864,3683,3481,6805,7051,5071
"Mb0354C",5450,6261,6553,8988,8146,6454
"Mb1686",3033,4718,3150,5245,2571,4080
"Mb1710",2933,4170,3439,3844,2311,3196
"Mb0255C",6334,5888,7207,6209,4380,5779
"Mb3262C",9328,10283,9896,6513,4978,5272
"Mb2489C",8367,8714,8609,6611,3999,5410
"Mb2177C",4870,6495,5079,6449,4592,3160
"Mb3221C",675,500,573,1074,761,820
"Mb1325",7976,8277,8164,5205,3341,4630
"Mb2078C",10930,14452,10751,8059,5649,4642
"Mb2190C",6188,5363,6316,5336,4808,5041
"Mb2961",8898,8052,9532,8060,5192,7009
"Mb0016C",8506,8135,8958,7171,6358,5822
"Mb3379C",7497,8070,7621,7099,7118,4549
"Mb2234C",1944,2106,2253,5559,3295,4801
"Mb0250C",10814,5056,8314,6073,3850,4461
"Mb1669",2947,2522,2758,4622,4421,3730
"Mb2812C",9688,12117,10677,5397,4026,4571
"Mb2716C",5505,4439,5139,3869,2834,3051
"Mb2282C",8205,8895,8258,5602,4051,4880
"Mb1916C",4624,4880,4490,9262,9573,6085
"Mb2435",1956,2103,2461,9098,6191,8197
"Mb2418",3537,4033,3151,7277,7016,3737
"Mb2996",3235,2536,3038,3808,2629,3205
"Mb0115",7147,7240,7157,7204,5909,5462
"Mb3803",6427,6298,6513,6106,4276,4726
"Mb0443C",3935,5085,4145,6736,4829,4523
"Mb1639",6533,5954,5984,5880,4561,4314
"Mb0500",9719,8739,9160,5460,3986,4122
"Mb3017C",2656,3186,3028,3535,1947,2857
"Mb3735C",5419,6635,5220,4915,3624,3736
"Mb0179",1799,2143,1663,8007,10777,4764
"Mb2617C",6196,6705,6781,7237,5850,4998
"Mb0593C",6313,7909,5925,4480,4609,2133
"Mb3443C",6410,6476,6474,5021,3860,3435
"Mb2283",6595,6795,6837,4943,3458,3624
"Mb0317",2827,3336,3157,7680,5337,6797
"Mb2151",5742,5313,6434,6905,5802,6203
"Mb2999C",3980,5504,4279,3736,2737,2385
"Mb0736",6239,6294,7139,6030,4334,5564
"Mb1261C",6795,7391,6933,6086,4393,4484
"Mb2495C",2766,3367,3052,5701,4506,4135
"Mb1799",2623,2830,2960,4815,4151,3620
"Mb2415",4982,4989,5338,5044,3886,3949
"Mb0473C",9174,8307,8962,6602,5454,5370
"Mb1524",6054,6838,6019,5378,4829,3982
"Mb2635C",3214,3601,3700,6544,4083,5896
"Mb0169",7756,8019,8619,8745,5627,8601
"Mb3239C",4466,4169,4462,4826,3918,3989
"Mb2808C",5606,4901,5513,5621,4554,5503
"Mb0316",3076,3936,3711,4536,2946,3917
"Mb0930",6535,5844,6084,3633,2462,3410
"Mb3159",3478,4450,4178,6196,3159,5802
"Mb1821",4203,3381,4302,5730,6070,5214
"Mb1497",5346,4137,4723,3189,3507,2095
"Mb1225",8601,8029,7881,5181,3649,3595
"Mb1681",1086,2493,1284,2533,911,1640
"Mb2586C",9049,8569,8794,4213,3628,3484
"Mb0295",3531,3612,3315,3654,3076,2910
"Mb2813C",8947,10610,8932,4332,3330,3438
"Mb1499",5581,4205,4603,3427,3720,2451
"Mb3220",5921,5370,5889,6975,5742,5410
"Mb0015C",8185,8474,8001,6231,4704,4570
"Mb1295",13808,14325,13025,4842,3935,3879
"Mb3657",1989,2290,2164,7198,8912,5310
"Mb3173",5347,6684,5870,6461,4984,4555
"Mb2323",739,671,870,2945,2349,2250
"Mb2656",20479,11423,17217,13422,3022,13010
"Mb1618C",9643,6480,9281,3252,2112,2771
"Mb0283C",6457,6785,7171,9095,7051,7238
"Mb1208C",5250,4955,5254,6796,4429,5274
"Mb3873C",5508,5643,5382,5750,4216,4210
"Mb1094",3407,3354,3444,3985,2618,3094
"Mb3250C",6808,6950,7016,3712,3042,3129
"Mb3230C",5457,6092,5895,5792,4105,4506
"Mb3068C",2820,3462,3309,5455,4159,3786
"Mb0702",1921,1686,1875,5151,3645,5005
"Mb3292C",5957,6735,6544,5976,4629,4805
"Mb1041",3831,3133,4237,4774,3255,2801
"Mb2242",3868,3872,3708,5722,4284,4016
"Mb0063",1915,1833,2030,4336,1845,3164
"Mb0929",6562,5746,6365,3963,2347,3980
"Mb2230",6024,7080,5753,5050,3631,2999
"Mb2507C",2170,3365,2654,5984,6731,4295
"Mb0248C",8424,12032,9290,8250,7194,6547
